

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

011.729  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/pug.vim
011.740  000.006  000.006: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/ql.vim
011.756  000.011  000.011: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/query.vim
011.766  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/surface.vim
011.775  000.004  000.004: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/teal.vim
011.784  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/tlaplus.vim
011.795  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/nvim-treesitter/ftdetect/yang.vim
011.863  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-fugitive/ftdetect/fugitive.vim
011.884  000.005  000.005: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/ftdetect/polyglot.vim
021.665  016.012  010.449: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/autoload/polyglot/init.vim
021.681  016.113  000.102: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/filetype.vim
021.750  000.044  000.044: sourcing /usr/share/nvim/runtime/filetype.lua
021.768  000.009  000.009: sourcing /usr/share/nvim/runtime/filetype.vim
022.826  000.307  000.307: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/autoload/polyglot/shebang.vim
023.648  000.355  000.355: sourcing /usr/share/nvim/runtime/scripts.vim
024.115  000.356  000.356: sourcing /home/lionelstefan/.local/share/nvim/site/pack/packer/start/vim-polyglot/autoload/polyglot/ft.vim
024.713  000.039  000.039: sourcing /usr/share/nvim/runtime/ftplugin/sh.vim
025.786  000.150  000.150: sourcing /usr/share/nvim/runtime/indent/sh.vim
